time,lat,lon,spei,doy
2000-01-16,51.25,11.75,0.39642763,16
2000-01-16,51.25,12.25,0.72338545,16
2000-01-16,51.25,12.75,0.5550831,16
2000-01-16,51.25,13.25,0.3787635,16
2000-01-16,51.25,13.75,0.21138006,16
2000-01-16,51.25,14.25,0.7930696,16
2000-01-16,51.25,14.75,0.73023075,16
2000-01-16,51.75,5.75,-0.6142418,16
2000-01-16,51.75,6.25,-0.5877125,16
2000-01-16,51.75,6.75,-0.51020795,16
2000-01-16,51.75,7.25,-0.74222136,16
2000-01-16,51.75,7.75,-0.6784614,16
2000-01-16,51.75,8.25,-0.30438232,16
2000-01-16,51.75,8.75,-0.2598064,16
2000-01-16,51.75,9.25,-0.1747035,16
2000-01-16,51.75,9.75,-0.04324415,16
2000-01-16,51.75,10.25,0.027149616,16
2000-01-16,51.75,10.75,0.11834535,16
2000-01-16,51.75,11.25,0.20528175,16
2000-01-16,51.75,11.75,0.29568768,16
2000-01-16,51.75,12.25,0.85358167,16
2000-01-16,51.75,12.75,0.76771176,16
2000-01-16,51.75,13.25,0.28513646,16
2000-01-16,51.75,13.75,0.3249573,16
2000-01-16,51.75,14.25,0.37852618,16
2000-01-16,51.75,14.75,0.38061312,16
2000-01-16,52.25,5.75,-0.58641386,16
2000-01-16,52.25,6.25,-0.6405787,16
2000-01-16,52.25,6.75,-0.4686978,16
2000-01-16,52.25,7.25,-0.51712376,16
2000-01-16,52.25,7.75,-0.51237893,16
2000-01-16,52.25,8.25,-0.18466735,16
2000-01-16,52.25,8.75,-0.21139625,16
2000-01-16,52.25,9.25,-0.064226136,16
2000-01-16,52.25,9.75,-0.083171,16
2000-01-16,52.25,10.25,-0.11923035,16
2000-01-16,52.25,10.75,-0.11693043,16
2000-01-16,52.25,11.25,0.15013494,16
2000-01-16,52.25,11.75,0.37740612,16
2000-01-16,52.25,12.25,0.41658214,16
2000-01-16,52.25,12.75,0.49971443,16
2000-01-16,52.25,13.25,0.53769225,16
2000-01-16,52.25,13.75,0.25874949,16
2000-01-16,52.25,14.25,0.18157507,16
2000-01-16,52.25,14.75,0.15138027,16
2000-01-16,52.75,5.75,-0.6056402,16
2000-01-16,52.75,6.25,-0.66805404,16
2000-01-16,52.75,6.75,-0.5577143,16
2000-01-16,52.75,7.25,-0.6008388,16
2000-01-16,52.75,7.75,-0.5909076,16
2000-01-16,52.75,8.25,-0.5597952,16
2000-01-16,52.75,8.75,-0.2770112,16
2000-01-16,52.75,9.25,-0.23239373,16
2000-01-16,52.75,9.75,-0.3126205,16
2000-01-16,52.75,10.25,-0.39965138,16
2000-01-16,52.75,10.75,-0.25913274,16
2000-01-16,52.75,11.25,-0.05730707,16
2000-01-16,52.75,11.75,-0.067813516,16
2000-01-16,52.75,12.25,0.2855194,16
2000-01-16,52.75,12.75,0.22692247,16
2000-01-16,52.75,13.25,0.18614101,16
2000-01-16,52.75,13.75,0.12530681,16
2000-01-16,52.75,14.25,0.088714875,16
2000-01-16,52.75,14.75,0.15205319,16
2000-01-16,53.25,5.75,-0.7069145,16
2000-01-16,53.25,6.25,-0.69222105,16
2000-01-16,53.25,6.75,-0.5587765,16
2000-01-16,53.25,7.25,-0.6124124,16
2000-01-16,53.25,7.75,-0.5867271,16
2000-01-16,53.25,8.25,-0.5490915,16
2000-01-16,53.25,8.75,-0.5322551,16
2000-01-16,53.25,9.25,-0.5176967,16
2000-01-16,53.25,9.75,-0.48589066,16
2000-01-16,53.25,10.25,-0.46380487,16
2000-01-16,53.25,10.75,-0.29234624,16
2000-01-16,53.25,11.25,-0.24735305,16
2000-01-16,53.25,11.75,-0.05570953,16
2000-01-16,53.25,12.25,-0.14614354,16
2000-01-16,53.25,12.75,0.06866659,16
2000-01-16,53.25,13.25,-0.018547373,16
2000-01-16,53.25,13.75,0.20577618,16
2000-01-16,53.25,14.25,0.19148779,16
2000-01-16,53.25,14.75,0.13905717,16
2000-01-16,53.75,7.25,-0.7874459,16
2000-01-16,53.75,7.75,-0.67563915,16
2000-01-16,53.75,8.25,-0.5848488,16
2000-01-16,53.75,8.75,-0.6680486,16
2000-01-16,53.75,9.25,-0.52869505,16
2000-01-16,53.75,9.75,-0.6326353,16
2000-01-16,53.75,10.25,-0.5976732,16
2000-01-16,53.75,10.75,-0.41201377,16
2000-01-16,53.75,11.25,-0.29636416,16
2000-01-16,53.75,11.75,-0.17429456,16
2000-01-16,53.75,12.25,-0.22461171,16
2000-01-16,53.75,12.75,-0.24634284,16
2000-01-16,53.75,13.25,-0.024996767,16
2000-01-16,53.75,13.75,0.20207088,16
2000-01-16,53.75,14.25,0.23314868,16
2000-01-16,53.75,14.75,0.21949558,16
2000-01-16,54.25,8.75,-0.63834876,16
2000-01-16,54.25,9.25,-0.7202948,16
2000-01-16,54.25,9.75,-0.66952705,16
2000-01-16,54.25,10.25,-0.6095279,16
2000-01-16,54.25,10.75,-0.50705254,16
2000-01-16,54.25,11.25,-0.5923114,16
2000-01-16,54.25,11.75,-0.5385167,16
2000-01-16,54.25,12.25,-0.5147767,16
2000-01-16,54.25,12.75,-0.33667824,16
